product_id,product_name,price
1,Widget,10.00
2,Gadget,15.00
3,Doodad,20.00
4,Thingamajig,25.00
5,Contraption,30.00
6,Device,35.00
7,Apparatus,40.00
8,Instrument,45.00
9,Machine,50.00
10,Tool,55.00
11,Widget Pro,60.00
12,Gadget Plus,65.00
13,Doodad Deluxe,70.00
14,Thingamajig Advanced,75.00
15,Contraption Elite,80.00
16,Device Max,85.00
17,Apparatus Ultra,90.00
18,Instrument Prime,95.00
19,Machine Supreme,100.00
20,Tool Master,105.00
21,Widget Mini,110.00
22,Gadget Nano,115.00
23,Doodad Micro,120.00
24,Thingamajig Compact,125.00
25,Contraption Slim,130.00
26,Device Lite,135.00
27,Apparatus Basic,140.00
28,Instrument Standard,145.00
29,Machine Core,150.00
30,Tool Essential,155.00
31,Widget XL,160.00
32,Gadget XXL,165.00
33,Doodad Mega,170.00
34,Thingamajig Ultra,175.00
35,Contraption Hyper,180.00
36,Device Turbo,185.00
37,Apparatus Extreme,190.00
38,Instrument Apex,195.00
39,Machine Zenith,200.00
40,Tool Peak,205.00
41,Widget Prime,210.00
42,Gadget Supreme,215.00
43,Doodad Ultimate,220.00
44,Thingamajig Infinite,225.00
45,Contraption Boundless,230.00
46,Device Limitless,235.00
47,Apparatus Endless,240.00
48,Instrument Eternal,245.00
49,Machine Perpetual,250.00
50,Tool Timeless,255.00
