customer_id,customer_name,updated_at
1,Alice,2023-01-01 10:00:00
1,Alice B.,2023-01-02 15:00:00
2,Bob,2023-01-01 12:00:00
3,Charlie,2023-01-01 11:00:00
3,Charlie D.,2023-01-02 16:00:00
4,Dave,2023-01-03 10:00:00
4,Dave E.,2023-01-04 15:00:00
5,Eve,2023-01-05 12:00:00
6,Frank,2023-01-06 11:00:00
6,Frank G.,2023-01-07 16:00:00
7,Grace,2023-01-08 10:00:00
7,Grace H.,2023-01-09 15:00:00
8,Hank,2023-01-10 12:00:00
9,Ivy,2023-01-11 11:00:00
9,Ivy J.,2023-01-12 16:00:00
10,Jack,2023-01-13 10:00:00
10,Jack K.,2023-01-14 15:00:00
11,Kate,2023-01-15 12:00:00
12,Liam,2023-01-16 11:00:00
12,Liam M.,2023-01-17 16:00:00
13,Mia,2023-01-18 10:00:00
13,Mia N.,2023-01-19 15:00:00
14,Noah,2023-01-20 12:00:00
15,Olivia,2023-01-21 11:00:00
15,Olivia P.,2023-01-22 16:00:00
16,Paul,2023-01-23 10:00:00
16,Paul Q.,2023-01-24 15:00:00
17,Quinn,2023-01-25 12:00:00
18,Rachel,2023-01-26 11:00:00
18,Rachel S.,2023-01-27 16:00:00
19,Sam,2023-01-28 10:00:00
19,Sam T.,2023-01-29 15:00:00
20,Tina,2023-01-30 12:00:00
21,Uma,2023-01-31 11:00:00
21,Uma V.,2023-02-01 16:00:00
22,Vince,2023-02-02 10:00:00
22,Vince W.,2023-02-03 15:00:00
23,Wendy,2023-02-04 12:00:00
24,Xander,2023-02-05 11:00:00
24,Xander Y.,2023-02-06 16:00:00
25,Yara,2023-02-07 10:00:00
25,Yara Z.,2023-02-08 15:00:00
26,Zack,2023-02-09 12:00:00
27,Anna,2023-02-10 11:00:00
27,Anna A.,2023-02-11 16:00:00
28,Brian,2023-02-12 10:00:00
28,Brian B.,2023-02-13 15:00:00
29,Clara,2023-02-14 12:00:00
30,Derek,2023-02-15 11:00:00
30,Derek D.,2023-02-16 16:00:00
9,Ivy J. E,2024-01-12 16:00:00
